track_seg_point_id,longitude,latitude
0,-78.830306,42.950649
1,-78.830402,42.950714
2,-78.830545,42.950742
3,-78.83068,42.950764
4,-78.830825,42.950767
5,-78.830923,42.950822
6,-78.831047,42.950836
7,-78.831163,42.950869
8,-78.831277,42.950911
9,-78.831387,42.950991
10,-78.831526,42.951002
11,-78.831659,42.950998
12,-78.831761,42.95094
13,-78.831583,42.950928
14,-78.831378,42.950895
15,-78.831183,42.950868
16,-78.831056,42.950851
17,-78.83088,42.950874
18,-78.83076,42.950901
19,-78.83062,42.950892
20,-78.83047,42.950911
21,-78.830347,42.950885
22,-78.830201,42.950885
23,-78.83006,42.950896
24,-78.829785,42.950874
25,-78.829633,42.950861
26,-78.829506,42.950854
27,-78.829353,42.950852
28,-78.82921,42.950821
29,-78.829074,42.95082
30,-78.828931,42.950821
31,-78.828783,42.950802
32,-78.828622,42.950794
33,-78.828474,42.950788
34,-78.828207,42.9508
35,-78.828041,42.950783
36,-78.827893,42.950761
37,-78.827759,42.950763
38,-78.827592,42.950772
39,-78.827451,42.95075
40,-78.827206,42.95078
41,-78.827058,42.950767
42,-78.826883,42.950833
43,-78.826751,42.950843
44,-78.826625,42.950832
45,-78.826365,42.950808
46,-78.82621,42.950916
47,-78.82613,42.95099
48,-78.826039,42.951058
49,-78.825942,42.951127
50,-78.825854,42.951221
51,-78.825743,42.95131
52,-78.825635,42.9514
53,-78.825538,42.951487
54,-78.825434,42.951565
55,-78.825345,42.951633
56,-78.825267,42.951711
57,-78.825146,42.951791
58,-78.82497,42.951901
59,-78.824827,42.952048
60,-78.824757,42.952123
61,-78.824662,42.952206
62,-78.82456,42.952287
63,-78.824459,42.952382
64,-78.824375,42.952478
65,-78.824296,42.952556
66,-78.824202,42.952644
67,-78.824119,42.952721
68,-78.824005,42.952825
69,-78.823909,42.952919
70,-78.82383,42.953017
71,-78.823724,42.95311
72,-78.823609,42.953205
73,-78.823504,42.953273
74,-78.823429,42.953422
75,-78.823339,42.953518
76,-78.823233,42.953587
77,-78.823131,42.953681
78,-78.823047,42.953756
79,-78.822944,42.953835
80,-78.822836,42.95391
81,-78.822739,42.95398
82,-78.822637,42.954073
83,-78.822491,42.954227
84,-78.822379,42.954306
85,-78.822251,42.954397
86,-78.822157,42.954495
87,-78.822026,42.954588
88,-78.82195,42.954688
89,-78.821807,42.954819
90,-78.821703,42.954935
91,-78.821628,42.955008
92,-78.821581,42.955103
93,-78.82148,42.955175
94,-78.821308,42.955298
95,-78.82121,42.955379
96,-78.821116,42.955485
97,-78.821016,42.955595
98,-78.820922,42.955691
99,-78.820804,42.955786
100,-78.820642,42.955891
101,-78.82053,42.956006
102,-78.820418,42.956101
103,-78.820292,42.956203
104,-78.820167,42.956314
105,-78.82003,42.956413
106,-78.819913,42.956518
107,-78.819796,42.956617
108,-78.819689,42.956738
109,-78.819569,42.956844
110,-78.819459,42.956947
111,-78.81935,42.957054
112,-78.819269,42.95714
113,-78.81919,42.957213
114,-78.819095,42.957279
115,-78.818936,42.957382
116,-78.818835,42.957466
117,-78.818726,42.957517
118,-78.818641,42.957595
119,-78.818505,42.957659
120,-78.818388,42.957705
121,-78.818263,42.957748
122,-78.818085,42.957837
123,-78.817908,42.95792
124,-78.817775,42.957973
125,-78.817653,42.957997
126,-78.817599,42.95809
127,-78.817617,42.958183
128,-78.817676,42.958295
129,-78.817663,42.958425
130,-78.817659,42.95858
131,-78.817665,42.958726
132,-78.817658,42.958855
133,-78.81765,42.958977
134,-78.81763,42.959066
135,-78.817483,42.959142
136,-78.817394,42.959237
137,-78.817395,42.95934
138,-78.81739,42.959475
139,-78.817522,42.959482
140,-78.817502,42.959578
141,-78.817489,42.95967
142,-78.817573,42.959736
143,-78.817484,42.959985
144,-78.817575,42.959795
145,-78.817573,42.959704
146,-78.817551,42.959615
147,-78.817581,42.95948
148,-78.8176,42.959383
149,-78.817604,42.95929
150,-78.817644,42.959201
151,-78.817821,42.959196
152,-78.817988,42.959207
153,-78.818112,42.959215
154,-78.81825,42.959185
155,-78.818381,42.9592
156,-78.818506,42.959192
157,-78.818563,42.959106
158,-78.81827,42.95918
159,-78.818385,42.959141
160,-78.818266,42.959176
161,-78.818143,42.959201
162,-78.818284,42.95917
163,-78.818358,42.959095
164,-78.818378,42.958979
165,-78.818378,42.958861
166,-78.81839,42.958771
167,-78.818398,42.958675
168,-78.818301,42.958587
169,-78.818174,42.95857
170,-78.818032,42.958573
171,-78.817887,42.958571
172,-78.817816,42.958469
173,-78.817819,42.958368
174,-78.817791,42.958267
175,-78.817741,42.958173
176,-78.817808,42.958041
177,-78.817971,42.95797
178,-78.818137,42.957905
179,-78.81825,42.957857
180,-78.818372,42.957823
181,-78.818525,42.957763
182,-78.818726,42.957652
183,-78.818842,42.957579
184,-78.818959,42.9575
185,-78.819077,42.957409
186,-78.819192,42.957318
187,-78.819295,42.957222
188,-78.819403,42.957128
189,-78.81951,42.957038
190,-78.819616,42.956941
191,-78.819721,42.956846
192,-78.819823,42.956749
193,-78.81992,42.956657
194,-78.820022,42.956562
195,-78.820121,42.95647
196,-78.820226,42.95637
197,-78.820333,42.956269
198,-78.820441,42.956168
199,-78.820554,42.956062
200,-78.820668,42.955958
201,-78.820777,42.955853
202,-78.820897,42.955745
203,-78.821021,42.955638
204,-78.821138,42.95553
205,-78.821254,42.955428
206,-78.821367,42.955328
207,-78.821481,42.955227
208,-78.821594,42.955126
209,-78.821703,42.955024
210,-78.821799,42.954933
211,-78.821901,42.95484
212,-78.82199,42.954757
213,-78.822069,42.954684
214,-78.82217,42.954596
215,-78.822256,42.954532
216,-78.822355,42.954469
217,-78.822487,42.954352
218,-78.82263,42.954225
219,-78.822771,42.954102
220,-78.822867,42.954011
221,-78.822967,42.953925
222,-78.823116,42.953788
223,-78.823214,42.953704
224,-78.823313,42.953615
225,-78.823411,42.953522
226,-78.823514,42.953429
227,-78.82361,42.953334
228,-78.823707,42.953248
229,-78.823819,42.953154
230,-78.823914,42.953062
231,-78.824011,42.952978
232,-78.8241,42.952893
233,-78.824226,42.952785
234,-78.82431,42.952718
235,-78.824417,42.952611
236,-78.824557,42.952489
237,-78.824635,42.952414
238,-78.824722,42.952336
239,-78.824813,42.952256
240,-78.824896,42.952183
241,-78.824996,42.952096
242,-78.825081,42.952026
243,-78.825163,42.95195
244,-78.825242,42.951874
245,-78.825366,42.951757
246,-78.825454,42.951679
247,-78.825533,42.951596
248,-78.825668,42.951484
249,-78.825812,42.951361
250,-78.825956,42.951232
251,-78.826092,42.951113
252,-78.826206,42.95101
253,-78.826292,42.950936
254,-78.826388,42.950865
255,-78.826516,42.950851
256,-78.82669,42.950855
257,-78.826903,42.950858
258,-78.827143,42.950859
259,-78.827274,42.950861
260,-78.827406,42.95086
261,-78.827543,42.950862
262,-78.82768,42.950863
263,-78.827817,42.950867
264,-78.827949,42.950865
265,-78.828088,42.950866
266,-78.828231,42.950872
267,-78.828368,42.950876
268,-78.828509,42.950881
269,-78.828647,42.950881
270,-78.828784,42.950884
271,-78.828924,42.950886
272,-78.829064,42.95089
273,-78.829197,42.950893
274,-78.829333,42.950896
275,-78.829456,42.950897
276,-78.829682,42.950904
277,-78.829874,42.95091
278,-78.830066,42.950907
279,-78.830199,42.950907
280,-78.830287,42.950829
281,-78.830279,42.950736
